lvl,category,all,all be,all ru,all be%,all ru%,uniq,uniq be,uniq ru,uniq be%,uniq ru%
,waterway = ditch,1,1,1,1.000,1.000,1,1,1,1.000,1.000
,waterway = stream,35,0,0,0.000,0.000,21,0,0,0.000,0.000
,waterway = river,71,0,0,0.000,0.000,64,0,0,0.000,0.000
,waterway = canal,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,type = waterway,68,0,0,0.000,0.000,68,0,0,0.000,0.000
,type = watershed,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,natural = water,103,1,1,0.010,0.010,69,1,1,0.014,0.014
,natural = spring,14,0,0,0.000,0.000,14,0,0,0.000,0.000
,tunnel = *,74,62,62,0.838,0.838,28,20,19,0.714,0.679
,waterway = *,6,1,1,0.167,0.167,6,1,1,0.167,0.167
,water = *,98,1,1,0.010,0.010,66,1,1,0.015,0.015
#,highway,1399,1173,1169,0.838,0.836,144,53,52,0.368,0.361
,highway = motorway,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,highway = trunk,217,217,217,1.000,1.000,11,11,10,1.000,0.909
,highway = primary,228,227,227,0.996,0.996,21,20,20,0.952,0.952
,highway = secondary,12,12,12,1.000,1.000,4,4,4,1.000,1.000
,highway = tertiary,8,5,5,0.625,0.625,6,3,3,0.500,0.500
,highway = unclassified,51,47,47,0.922,0.922,10,6,6,0.600,0.600
,highway = residential,9,3,3,0.333,0.333,6,2,2,0.333,0.333
,highway = service,255,237,237,0.929,0.929,32,19,19,0.594,0.594
,highway = track,527,506,507,0.960,0.962,17,2,3,0.118,0.176
,type = associatedStreet,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,type = street,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,highway = *,175,7,2,0.040,0.011,53,3,2,0.057,0.038
,bridge = *,104,93,93,0.894,0.894,15,5,5,0.333,0.333
#,public_transport,382,11,6,0.029,0.016,202,5,6,0.025,0.030
,highway = bus_stop,106,0,1,0.000,0.009,104,0,1,0.000,0.010
,type = route,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,type = route_master,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,type = disused:route,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,type = public_transport,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,building = train_station,13,2,4,0.154,0.308,10,2,4,0.200,0.400
,building = transportation,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,amenity = bus_station,3,0,0,0.000,0.000,3,0,0,0.000,0.000
,amenity = ferry_terminal,6,0,0,0.000,0.000,5,0,0,0.000,0.000
,public_transport = *,190,9,2,0.047,0.011,119,3,2,0.025,0.017
,route = *,121,1,1,0.008,0.008,32,1,1,0.031,0.031
,route_master = *,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,railway = *,102,8,0,0.078,0.000,26,2,0,0.077,0.000
,aeroway = *,19,0,0,0.000,0.000,18,0,0,0.000,0.000
#,industrial,262,11,15,0.042,0.057,171,10,14,0.058,0.082
,landuse = industrial,72,5,5,0.069,0.069,67,5,5,0.075,0.075
,building = industrial,99,5,9,0.051,0.091,78,4,8,0.051,0.103
,building = warehouse,21,1,1,0.048,0.048,19,1,1,0.053,0.053
,office = construction_company,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,industrial = *,81,1,1,0.012,0.012,21,1,1,0.048,0.048
#,infrastructure,1001,196,236,0.196,0.236,493,18,34,0.037,0.069
,amenity = fuel,22,0,0,0.000,0.000,19,0,0,0.000,0.000
,building = service,88,4,4,0.045,0.045,77,4,4,0.052,0.052
,barrier = *,131,22,23,0.168,0.176,93,7,9,0.075,0.097
,power = *,255,5,5,0.020,0.020,125,2,2,0.016,0.016
,substation = *,55,0,0,0.000,0.000,51,0,0,0.000,0.000
,pipeline = *,23,0,0,0.000,0.000,21,0,0,0.000,0.000
,man_made = *,558,174,213,0.312,0.382,212,8,22,0.038,0.104
,embankment = *,2,2,2,1.000,1.000,1,1,1,1.000,1.000
#,religion,432,43,266,0.100,0.616,403,39,242,0.097,0.600
,amenity = place_of_worship,330,21,228,0.064,0.691,313,21,211,0.067,0.674
,amenity = monastery,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = grave_yard,4,1,2,0.250,0.500,4,1,2,0.250,0.500
,building = church,233,13,158,0.056,0.678,229,13,153,0.057,0.668
,building = cathedral,1,0,1,0.000,1.000,1,0,1,0.000,1.000
,building = chapel,46,12,23,0.261,0.500,46,12,23,0.261,0.500
,religion = *,403,39,257,0.097,0.638,375,36,234,0.096,0.624
,cemetery = *,12,1,1,0.083,0.083,12,1,1,0.083,0.083
#,education,114,0,3,0.000,0.026,105,0,3,0.000,0.029
,landuse = education,6,0,0,0.000,0.000,6,0,0,0.000,0.000
,amenity = university,10,0,0,0.000,0.000,10,0,0,0.000,0.000
,amenity = college,6,0,0,0.000,0.000,6,0,0,0.000,0.000
,amenity = school,12,0,1,0.000,0.083,12,0,1,0.000,0.083
,amenity = kindergarten,15,0,0,0.000,0.000,15,0,0,0.000,0.000
,amenity = arts_centre,11,0,0,0.000,0.000,10,0,0,0.000,0.000
,amenity = music_school,5,0,0,0.000,0.000,5,0,0,0.000,0.000
,building = university,4,0,1,0.000,0.250,4,0,1,0.000,0.250
,building = college,6,0,1,0.000,0.167,6,0,1,0.000,0.167
,building = school,13,0,0,0.000,0.000,13,0,0,0.000,0.000
,building = kindergarten,9,0,0,0.000,0.000,7,0,0,0.000,0.000
,building = dormitory,19,0,0,0.000,0.000,15,0,0,0.000,0.000
,office = educational_institution,5,0,0,0.000,0.000,5,0,0,0.000,0.000
,faculty = *,2,0,0,0.000,0.000,2,0,0,0.000,0.000
#,healthcare,1581,3,2,0.002,0.001,543,3,2,0.006,0.004
,amenity = hospital,12,1,0,0.083,0.000,12,1,0,0.083,0.000
,amenity = pharmacy,174,1,0,0.006,0.000,79,1,0,0.013,0.000
,amenity = clinic,25,0,0,0.000,0.000,25,0,0,0.000,0.000
,amenity = doctors,16,0,0,0.000,0.000,12,0,0,0.000,0.000
,amenity = dentist,19,0,0,0.000,0.000,19,0,0,0.000,0.000
,amenity = veterinary,8,0,0,0.000,0.000,8,0,0,0.000,0.000
,building = hospital,9,2,1,0.222,0.111,8,2,1,0.250,0.125
,building = clinic,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,emergency = *,1301,0,0,0.000,0.000,368,0,0,0.000,0.000
,healthcare = *,253,1,1,0.004,0.004,154,1,1,0.006,0.006
#,government,782,507,513,0.648,0.656,256,3,9,0.012,0.035
,amenity = fire_station,4,0,0,0.000,0.000,4,0,0,0.000,0.000
,amenity = ranger_station,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,amenity = townhall,6,0,1,0.000,0.167,6,0,1,0.000,0.167
,amenity = post_office,33,1,1,0.030,0.030,33,1,1,0.030,0.030
,amenity = post_box,5,0,0,0.000,0.000,5,0,0,0.000,0.000
,amenity = police,8,0,0,0.000,0.000,8,0,0,0.000,0.000
,amenity = prison,4,0,0,0.000,0.000,3,0,0,0.000,0.000
,amenity = courthouse,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,amenity = customs,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,amenity = mortuary,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = library,13,0,1,0.000,0.077,12,0,1,0.000,0.083
,amenity = theatre,3,0,0,0.000,0.000,3,0,0,0.000,0.000
,amenity = cinema,3,0,0,0.000,0.000,3,0,0,0.000,0.000
,amenity = community_centre,21,0,0,0.000,0.000,16,0,0,0.000,0.000
,amenity = social_facility,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,amenity = public_building,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = public_bath,4,0,1,0.000,0.250,4,0,1,0.000,0.250
,amenity = vehicle_inspection,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,office = government,32,0,0,0.000,0.000,32,0,0,0.000,0.000
,office = diplomatic,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,office = newspaper,3,0,0,0.000,0.000,3,0,0,0.000,0.000
,office = research,6,0,0,0.000,0.000,6,0,0,0.000,0.000
,office = forestry,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,office = energy_supplier,3,0,0,0.000,0.000,3,0,0,0.000,0.000
,office = utility,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,office = foundation,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,office = notary,4,0,0,0.000,0.000,4,0,0,0.000,0.000
,building = public,8,0,0,0.000,0.000,8,0,0,0.000,0.000
,landuse = military,34,0,0,0.000,0.000,33,0,0,0.000,0.000
,government = *,20,0,0,0.000,0.000,20,0,0,0.000,0.000
,military = *,591,506,509,0.856,0.861,74,2,5,0.027,0.068
,embassy = *,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,diplomatic = *,1,0,0,0.000,0.000,1,0,0,0.000,0.000
#,bank,96,1,2,0.010,0.021,88,1,2,0.011,0.023
,amenity = atm,13,1,1,0.077,0.077,13,1,1,0.077,0.077
,amenity = bank,73,0,1,0.000,0.014,65,0,1,0.000,0.015
,amenity = bureau_de_change,10,0,0,0.000,0.000,10,0,0,0.000,0.000
#,tourism,1860,143,446,0.077,0.240,1517,140,386,0.092,0.254
,building = bunker,35,0,2,0.000,0.057,32,0,2,0.000,0.062
,building = ruins,22,3,6,0.136,0.273,20,3,6,0.150,0.300
,amenity = fountain,8,1,0,0.125,0.000,7,1,0,0.143,0.000
,tourism = *,1250,114,373,0.091,0.298,972,113,332,0.116,0.342
,historic = *,965,131,300,0.136,0.311,880,128,270,0.145,0.307
,memorial = *,232,9,13,0.039,0.056,224,9,11,0.040,0.049
,ruins = *,70,18,28,0.257,0.400,68,18,28,0.265,0.412
,information = *,275,0,0,0.000,0.000,143,0,0,0.000,0.000
,attraction = *,22,0,0,0.000,0.000,21,0,0,0.000,0.000
,artwork_type = *,43,1,1,0.023,0.023,42,1,1,0.024,0.024
#,sport,249,12,42,0.048,0.169,200,4,10,0.020,0.050
,amenity = sanatorium,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,leisure = *,214,12,14,0.056,0.065,189,4,6,0.021,0.032
,sport = *,129,11,41,0.085,0.318,88,3,9,0.034,0.102
,resort = *,8,0,0,0.000,0.000,7,0,0,0.000,0.000
#,office,332,0,1,0.000,0.003,300,0,1,0.000,0.003
,office = *,332,0,1,0.000,0.003,300,0,1,0.000,0.003
#,amenity,3237,575,606,0.178,0.187,1934,20,36,0.010,0.019
,amenity = cafe,94,1,1,0.011,0.011,86,1,1,0.012,0.012
,amenity = fast_food,51,0,0,0.000,0.000,44,0,0,0.000,0.000
,amenity = restaurant,5,0,0,0.000,0.000,5,0,0,0.000,0.000
,amenity = bar,22,0,0,0.000,0.000,22,0,0,0.000,0.000
,shop = convenience,181,0,0,0.000,0.000,134,0,0,0.000,0.000
,shop = clothes,160,0,3,0.000,0.019,72,0,1,0.000,0.014
,shop = car_repair,648,544,545,0.840,0.841,121,7,16,0.058,0.132
,shop = hairdresser,45,1,1,0.022,0.022,40,1,1,0.025,0.025
,shop = chemist,7,0,0,0.000,0.000,6,0,0,0.000,0.000
,shop = supermarket,37,0,0,0.000,0.000,26,0,0,0.000,0.000
,shop = car_parts,138,0,0,0.000,0.000,60,0,0,0.000,0.000
,shop = furniture,47,0,2,0.000,0.043,42,0,2,0.000,0.048
,shop = hardware,37,0,0,0.000,0.000,35,0,0,0.000,0.000
,shop = kiosk,15,0,0,0.000,0.000,14,0,0,0.000,0.000
,shop = doityourself,52,0,0,0.000,0.000,50,0,0,0.000,0.000
,shop = pet,24,0,0,0.000,0.000,22,0,0,0.000,0.000
,shop = florist,33,0,0,0.000,0.000,30,0,0,0.000,0.000
,shop = beauty,57,0,0,0.000,0.000,55,0,0,0.000,0.000
,shop = mobile_phone,34,0,0,0.000,0.000,27,0,0,0.000,0.000
,shop = shoes,18,0,1,0.000,0.056,15,0,1,0.000,0.067
,shop = newsagent,3,0,0,0.000,0.000,3,0,0,0.000,0.000
,shop = electronics,32,0,0,0.000,0.000,18,0,0,0.000,0.000
,shop = alcohol,21,0,0,0.000,0.000,16,0,0,0.000,0.000
,shop = jewelry,66,0,0,0.000,0.000,5,0,0,0.000,0.000
,shop = mall,11,0,1,0.000,0.091,11,0,1,0.000,0.091
,shop = butcher,21,0,0,0.000,0.000,18,0,0,0.000,0.000
,shop = cosmetics,17,0,0,0.000,0.000,15,0,0,0.000,0.000
,craft = shoemaker,9,0,0,0.000,0.000,9,0,0,0.000,0.000
,amenity = *,444,23,23,0.052,0.052,326,10,11,0.031,0.034
,shop = *,921,6,29,0.007,0.031,660,3,4,0.005,0.006
,clothes = *,68,0,26,0.000,0.382,36,0,2,0.000,0.056
,club = *,6,0,0,0.000,0.000,6,0,0,0.000,0.000
#,building,1752,84,162,0.048,0.092,1172,54,120,0.046,0.102
,building = yes,1136,46,111,0.040,0.098,727,39,95,0.054,0.131
,building = retail,95,0,1,0.000,0.011,89,0,1,0.000,0.011
,building = commercial,39,0,0,0.000,0.000,38,0,0,0.000,0.000
,building = office,11,0,0,0.000,0.000,11,0,0,0.000,0.000
,building = house,52,1,3,0.019,0.058,50,1,3,0.020,0.060
,building = apartments,94,0,0,0.000,0.000,58,0,0,0.000,0.000
,building = residential,5,0,0,0.000,0.000,5,0,0,0.000,0.000
,building = construction,10,1,0,0.100,0.000,10,1,0,0.100,0.000
,building = kiosk,8,0,0,0.000,0.000,6,0,0,0.000,0.000
,building = *,239,37,47,0.155,0.197,162,14,23,0.086,0.142
,building:part = *,21,0,1,0.000,0.048,20,0,1,0.000,0.050
,entrance = *,44,0,0,0.000,0.000,33,0,0,0.000,0.000
#,other,609,0,0,0.000,0.000,93,0,0,0.000,0.000
#,TOTAL,14054,1979,2401,0.141,0.171,7004,258,578,0.037,0.083
